Grand Darbar - Grand Residency,1500,Indian|Continental|Chinese,Cuttack,Mal Godown Market,Casual Dining,7am :11pm,Average,3.3,63
New Darbar,600,Mughlai|Chinese,Cuttack,Buxi Bazaar,Casual Dining,11am :1045pm|11am :...,Average,3.4,53
Hungry Jack,300,North Indian|Chinese,Cuttack,Naya Bazaar,Quick Bites,12noon :330pm|7pm :1030pm,Average,3.4,76
Kafil's Food Court,300,Fast Food|Indian|Chinese|North Indian,Cuttack,Naya Bazaar,Quick Bites,1130am :11pm,Average,3.4,53
La Cafeotheque,500,Chinese|Italian|Bakery|Biryani|Coffee,Cuttack,Naya Bazaar,Quick Bites,10am :11pm,Average,3.4,20
Laxmidhar Bhai Dum Biryani,150,Biryani,Cuttack,CDA Sector 6,none,Closed|4pm :11pm,Average,3.4,51
Curry Point & Fast Food,150,Fast Food|North Indian,Cuttack,Naya Bazaar,none,5pm :11pm,Good,3.5,35
New Tarini Hotel,250,Fast Food|North Indian,Cuttack,Police Colony,Quick Bites,12noon :4pm|7pm :11pm,Good,3.5,10
Subharatri Bar & Restaurant,600,North Indian|Chinese,Cuttack,Kalyani Nagar,Bar,12noon :12midnight,Average,3.3,52
Jazz Inn,1200,Cafe|Fast Food,Cuttack,Siba Bazaar,Café,11am :1030pm,Average,3.1,33
Hotel Ankit,300,Fast Food|North Indian,Cuttack,Siba Bazaar,Quick Bites,11am :11pm,Good,3.5,24
Riveria - The Blue Lagoon Premium,850,North Indian|South Indian|Continental,Cuttack,Bidanasi,Casual Dining,1230pm :1030pm,Average,3.3,40
Zio Restaurant,1000,Chinese,Cuttack,Siba Bazaar,Casual Dining,11am :310pm|630pm :11pm,Average,3.3,53
Roshni Bar & Restaurant,500,South Indian|North Indian|Chinese,Cuttack,Kalyani Nagar,Quick Bites,12noon :12midnight,Average,3.2,24
Courtyard,700,Cafe,Cuttack,Bidanasi,Café,11am :11pm,Average,3.3,20
Chick Inn,700,Chinese|Indian,Cuttack,Buxi Bazaar,Casual Dining,11am :11pm,Average,3.3,25
Ambica Pride,600,North Indian|South Indian|Chinese,Cuttack,Siba Bazaar,Casual Dining,11am :11pm,Average,3.4,24
Annapurna's Kitchen,150,Fast Food,Cuttack,Bidanasi,Quick Bites,5pm :1030pm,Average,3.3,40
Jagadamba Fast Food and Restaurant,250,North Indian|Chinese|Fast Food,Cuttack,Naya Bazaar,Quick Bites,11am :1030pm,Average,3.4,9
Green Bawarchi,400,Biryani|Chinese|North Indian,Cuttack,CDA Sector 6,Quick Bites,11am :11pm,Average,3.4,9
Agnee Fast Food,250,Fast Food,Cuttack,Siba Bazaar,Quick Bites,530pm :1030pm,Good,3.6,19
Food Raasta,300,North Indian|Chinese,Cuttack,Sutahat,none,12noon :11pm,Average,3.4,22
Creme Shakes,200,Beverages,Cuttack,Siba Bazaar,Beverage Shop,11am :11pm,Average,3.4,21
Dazzle,300,North Indian|Chinese,Cuttack,Naya Bazaar,Quick Bites,1230pm :330pm|7pm :1030pm,Average,3.2,29
Kaffe Delite,250,Fast Food|Beverages|Bakery,Cuttack,Bidanasi,Quick Bites,8am :1030pm,Average,3.3,6
The Treat,800,North Indian|South Indian,Cuttack,Sutahat,Quick Bites,11am :4pm|7pm :11pm,Average,3.2,14
Sagar Shree Restaurant,600,North Indian|South Indian,Cuttack,Siba Bazaar,Casual Dining,12noon :1030pm,Average,3.2,10
Cafe Express - The Blue Lagoon Premium,600,Cafe,Cuttack,Sutahat,Café,11am :11pm,Average,3.2,11
New Royal Hotel,250,North Indian|Mughlai|Chinese,Cuttack,Buxi Bazaar,Quick Bites,11am :11pm,Average,3.2,19
Sri Balaji South Indian Food Court,200,South Indian|Biryani,Cuttack,Buxi Bazaar,none,7am :12noon|6pm :11pm,None,NEW,NEW
Sai Continental,500,North Indian|Chinese,Cuttack,CDA Sector 6,Quick Bites,7am :11pm,Average,3.3,17
Momo's King,200,Momos,Cuttack,Siba Bazaar,Kiosk,4pm :11pm,Not rated,-,-
Hotel Sabitri,200,North Indian|Fast Food,Cuttack,CDA Sector 6,Quick Bites,11am :11pm,Average,3.3,10
Nanda Bhai Hotel,400,Fast Food,Cuttack,Mal Godown Market,Quick Bites,11am :3pm|6pm :11pm,Average,3.2,13
Rajwada,700,North Indian,Cuttack,Bidanasi,Casual Dining,12noon :3pm|730pm :1030pm,Average,3.2,7
Barbeque Odisha,250,Chinese|North Indian,Cuttack,CDA Sector 6,Quick Bites,12noon :1030pm,Average,3.2,4
Hotel Deepak,300,Biryani|Oriya,Cuttack,Buxi Bazaar,Quick Bites,12noon :3pm|7pm :1030pm,None,NEW,NEW
Curry Point,150,North Indian,Cuttack,Siba Bazaar,none,5pm :11pm,Average,3.2,11
Moonlight Premium,400,North Indian|Chinese,Cuttack,CDA Sector 6,Quick Bites,12noon :4pm|6pm :11pm,Average,3.2,6
Hadibandhu Vegetus,300,South Indian|Fast Food,Cuttack,Siba Bazaar,Quick Bites,10am :1030pm,Average,3.2,7
Sauri Sahu Sweets,200,Mithai,Cuttack,Naya Bazaar,Sweet Shop,7am :11pm,Average,3.2,12
